id,name,short_name,year,indicator,numerator,denominator
id_1.8.2,Показатель первичной заболеваемости туберкулезом женского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 жен,2024,25.78,22.0,85327.0
id_1.9,Показатель первичной заболеваемости туберкулезом населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34,2016,197.89,810.0,409323.0
id_1.9,Показатель первичной заболеваемости туберкулезом населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34,2017,164.61,660.0,400958.0
id_1.9,Показатель первичной заболеваемости туберкулезом населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34,2018,142.08,550.0,387116.0
id_1.9,Показатель первичной заболеваемости туберкулезом населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34,2019,125.36,467.0,372520.0
id_1.9,Показатель первичной заболеваемости туберкулезом населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34,2020,105.06,376.0,357878.0
id_1.9,Показатель первичной заболеваемости туберкулезом населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34,2021,92.74,307.0,331043.0
id_1.9,Показатель первичной заболеваемости туберкулезом населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34,2022,109.96,330.0,300100.0
id_1.9,Показатель первичной заболеваемости туберкулезом населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34,2023,74.32,207.0,278524.0
id_1.9,Показатель первичной заболеваемости туберкулезом населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34,2024,55.39,149.0,269012.0
id_1.9.1,Показатель первичной заболеваемости туберкулезом мужского населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34 муж,2016,243.29,502.0,206341.0
id_1.9.1,Показатель первичной заболеваемости туберкулезом мужского населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34 муж,2017,197.03,399.0,202508.0
id_1.9.1,Показатель первичной заболеваемости туберкулезом мужского населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34 муж,2018,184.65,361.0,195507.0
id_1.9.1,Показатель первичной заболеваемости туберкулезом мужского населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34 муж,2019,150.19,283.0,188429.0
id_1.9.1,Показатель первичной заболеваемости туберкулезом мужского населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34 муж,2020,137.22,249.0,181466.0
id_1.9.1,Показатель первичной заболеваемости туберкулезом мужского населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34 муж,2021,119.38,199.0,166696.0
id_1.9.1,Показатель первичной заболеваемости туберкулезом мужского населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34 муж,2022,140.36,210.0,149618.0
id_1.9.1,Показатель первичной заболеваемости туберкулезом мужского населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34 муж,2023,90.56,126.0,139139.0
id_1.9.1,Показатель первичной заболеваемости туберкулезом мужского населения 25-34 года (на 100 тыс. населения),ПЗ туб 25-34 муж,2024,74.17,100.0,134817.0
