payer_id;recency;frequency;monetary;R_Score;F_Score;M_Score;RFM_segment;Segment_Name
PID_041f9cef965b;52;7;1400.0;1;2;2;122;Потерянные VIP
PID_0420577f494a;46;1;200.0;2;1;1;211;Остывающие новички
PID_0421388e7b4e;1;82;8200.0;3;3;3;333;VIP / Супер-ядро
PID_0421cbebe843;34;1;100.0;2;1;1;211;Остывающие новички
PID_0422439f13c4;56;1;1000.0;1;1;2;112;Ушедшие новички
PID_0423655f5a72;0;4;2000.0;3;2;2;322;Потенциальное ядро
PID_0423e5210c7b;47;3;300.0;2;2;1;221;Требуют внимания
PID_0425d8ab8697;11;20;20000.0;3;3;3;333;VIP / Супер-ядро
PID_04266b326fb1;1;39;3900.0;3;3;3;333;VIP / Супер-ядро
PID_04267640b1b5;41;1;158.0;2;1;1;211;Остывающие новички
PID_0427dd066daa;20;14;1400.0;2;3;2;232;Засыпающее ядро
PID_04283f7aed18;85;1;100.0;1;1;1;111;Ушедшие новички
PID_0429389551c6;62;1;100.0;1;1;1;111;Ушедшие новички
PID_042965bb5f18;32;2;200.0;2;1;1;211;Остывающие новички
PID_0429b6c837f0;0;25;12500.0;3;3;3;333;VIP / Супер-ядро
PID_042aa061b1b5;61;1;200.0;1;1;1;111;Ушедшие новички
PID_04339d44ba67;2;3;1500.0;3;2;2;322;Потенциальное ядро
PID_04343e7363e2;41;1;200.0;2;1;1;211;Остывающие новички
