payer_id;amount;share;cum_share;abc_class
PID_e714c148df23;60200.0;0.0008140294011263503;0.09190256717885746;A
PID_f0e02b130de7;60000.0;0.0008113249845113125;0.09271389216336877;A
PID_239e627cd6a2;60000.0;0.0008113249845113125;0.09352521714788008;A
PID_10f363231e35;60000.0;0.0008113249845113125;0.09433654213239138;A
PID_e7831cffdc5a;60000.0;0.0008113249845113125;0.09514786711690269;A
PID_da16dfa347d2;59000.0;0.000797802901436124;0.09594567001833881;A
PID_3863caf4d14b;59000.0;0.000797802901436124;0.09674347291977493;A
PID_1f470ce69b98;58000.0;0.0007842808183609355;0.09752775373813587;A
PID_64d974e1bdce;57000.0;0.000770758735285747;0.09829851247342161;A
PID_607001a1ff7f;57000.0;0.000770758735285747;0.09906927120870736;A
PID_cae2900aa419;57000.0;0.000770758735285747;0.0998400299439931;A
PID_5953aeab37b0;57000.0;0.000770758735285747;0.10061078867927885;A
PID_ceb804166727;57000.0;0.000770758735285747;0.1013815474145646;A
PID_7381deba67fb;57000.0;0.000770758735285747;0.10215230614985034;A
PID_deb1ee02a449;57000.0;0.000770758735285747;0.10292306488513608;A
PID_00ee098394e7;56500.0;0.0007639976937481527;0.10368706257888424;A
PID_cbaa44337a68;56000.0;0.0007572366522105583;0.1044442992310948;A
PID_d310041cd9e2;55600.0;0.000751827818980483;0.10519612705007528;A
PID_21d2ab549dbe;55000.0;0.0007437145691353698;0.10593984161921065;A
PID_280df3998113;55000.0;0.0007437145691353698;0.10668355618834602;A
PID_772092c6f143;55000.0;0.0007437145691353698;0.10742727075748139;A
PID_35e332564fea;55000.0;0.0007437145691353698;0.10817098532661676;A
PID_6b9c8b73255e;54800.0;0.0007410101525203321;0.10891199547913709;A
PID_15280419a5d8;54000.0;0.0007301924860601813;0.10964218796519727;A
PID_34dbd327adb1;54000.0;0.0007301924860601813;0.11037238045125745;A
PID_86203e3aa5a7;54000.0;0.0007301924860601813;0.11110257293731764;A
PID_760327fb6507;53000.0;0.0007166704029849928;0.11181924334030263;A
PID_fe010a47c40d;53000.0;0.0007166704029849928;0.11253591374328763;A
PID_2410db613023;52500.0;0.0007099093614473985;0.11324582310473502;A
PID_dae913922152;52000.0;0.0007031483199098043;0.11394897142464483;A
PID_45d9fd826e5f;52000.0;0.0007031483199098043;0.11465211974455464;A
PID_83d992801808;52000.0;0.0007031483199098043;0.11535526806446444;A
PID_a0ac5d8b9f61;51700.0;0.0006990916949872476;0.11605435975945169;A
PID_2ec8fcbd5906;51000.0;0.0006896262368346157;0.11674398599628631;A
PID_ea84b834ae25;51000.0;0.0006896262368346157;0.11743361223312093;A
PID_a02c704cb80e;51000.0;0.0006896262368346157;0.11812323846995555;A
PID_36bc36ebce95;50200.0;0.0006788085703744648;0.11880204704033001;A
PID_a8f0132648d1;50000.0;0.0006761041537594271;0.11947815119408944;A
PID_17f9d39699d4;50000.0;0.0006761041537594271;0.12015425534784888;A
PID_43499abacb61;50000.0;0.0006761041537594271;0.12083035950160831;A
PID_9e4866e66f2c;50000.0;0.0006761041537594271;0.12150646365536774;A
PID_7f7c67a56c2c;50000.0;0.0006761041537594271;0.12218256780912717;A
PID_8825928a7f8b;50000.0;0.0006761041537594271;0.1228586719628866;A
PID_665b20fdf4f8;50000.0;0.0006761041537594271;0.12353477611664604;A
PID_55400bd6672f;50000.0;0.0006761041537594271;0.12421088027040547;A
PID_da094dcea3ab;50000.0;0.0006761041537594271;0.1248869844241649;A
PID_db6eddb4c3b2;49500.0;0.0006693431122218328;0.12555632753638674;A
PID_a335814bc7f9;48000.0;0.0006490599876090501;0.1262053875239958;A
PID_909d01c5ab54;48000.0;0.0006490599876090501;0.12685444751160485;A
PID_be412abbc693;48000.0;0.0006490599876090501;0.1275035074992139;A
PID_2aee520639bf;48000.0;0.0006490599876090501;0.12815256748682297;A
PID_75c0bd219c82;48000.0;0.0006490599876090501;0.12880162747443202;A
PID_b848da2ce1dd;48000.0;0.0006490599876090501;0.12945068746204108;A
PID_7e2d305b0c9b;47900.0;0.0006477077793015312;0.13009839524134262;A
